Device ID,Time,Temperature,Humidity,Temperature_ma,Humidity_ma
"""inTelli-Gee_prototype_v0.1_serial_1""",277.0,21.0,74.1,,
"""inTelli-Gee_prototype_v0.1_serial_1""",278.0,21.1,74.0,,
"""inTelli-Gee_prototype_v0.1_serial_1""",279.0,21.1,74.0,,
"""inTelli-Gee_prototype_v0.1_serial_1""",280.0,21.0,73.8,,
"""inTelli-Gee_prototype_v0.1_serial_1""",281.0,21.0,73.8,,
"""inTelli-Gee_prototype_v0.1_serial_1""",282.0,21.0,73.8,,
"""inTelli-Gee_prototype_v0.1_serial_1""",283.0,21.0,73.8,,
"""inTelli-Gee_prototype_v0.1_serial_1""",284.0,20.9,73.6,,
"""inTelli-Gee_prototype_v0.1_serial_1""",285.0,20.9,73.6,,
"""inTelli-Gee_prototype_v0.1_serial_1""",286.0,21.0,73.8,,
"""inTelli-Gee_prototype_v0.1_serial_1""",287.0,21.0,73.8,,
"""inTelli-Gee_prototype_v0.1_serial_1""",288.0,21.1,73.9,,
"""inTelli-Gee_prototype_v0.1_serial_1""",289.0,21.1,73.9,,
"""inTelli-Gee_prototype_v0.1_serial_1""",290.0,21.0,73.9,,
"""inTelli-Gee_prototype_v0.1_serial_1""",291.0,21.0,73.9,,
"""inTelli-Gee_prototype_v0.1_serial_1""",292.0,21.1,74.0,,
"""inTelli-Gee_prototype_v0.1_serial_1""",293.0,21.1,74.0,,
"""inTelli-Gee_prototype_v0.1_serial_1""",294.0,21.0,74.1,,
"""inTelli-Gee_prototype_v0.1_serial_1""",295.0,21.0,74.1,,
"""inTelli-Gee_prototype_v0.1_serial_1""",296.0,21.0,74.1,,
"""inTelli-Gee_prototype_v0.1_serial_1""",297.0,21.0,74.1,,
"""inTelli-Gee_prototype_v0.1_serial_1""",298.0,21.0,74.0,,
"""inTelli-Gee_prototype_v0.1_serial_1""",299.0,21.0,74.0,,
"""inTelli-Gee_prototype_v0.1_serial_1""",300.0,21.0,74.0,,
"""inTelli-Gee_prototype_v0.1_serial_1""",301.0,21.0,74.0,,
"""inTelli-Gee_prototype_v0.1_serial_1""",302.0,21.0,74.1,,
"""inTelli-Gee_prototype_v0.1_serial_1""",303.0,21.0,74.1,,
"""inTelli-Gee_prototype_v0.1_serial_1""",304.0,21.0,74.2,,
"""inTelli-Gee_prototype_v0.1_serial_1""",305.0,21.0,74.2,,
"""inTelli-Gee_prototype_v0.1_serial_1""",306.0,20.9,74.4,,
"""inTelli-Gee_prototype_v0.1_serial_1""",307.0,20.9,74.4,,
"""inTelli-Gee_prototype_v0.1_serial_1""",308.0,21.0,74.7,,
"""inTelli-Gee_prototype_v0.1_serial_1""",309.0,21.0,74.7,,
"""inTelli-Gee_prototype_v0.1_serial_1""",310.0,20.9,74.8,,
"""inTelli-Gee_prototype_v0.1_serial_1""",311.0,20.9,74.8,,
"""inTelli-Gee_prototype_v0.1_serial_1""",312.0,21.0,74.9,,
"""inTelli-Gee_prototype_v0.1_serial_1""",313.0,21.0,74.9,,
